[2007/09/26 - 13:42:20] tornado-start : Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent
[2007/09/26 - 13:42:21] recalc sharekill for Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent
[2007/09/26 - 13:42:21] seed forever
[2007/09/26 - 13:42:21] executing command : 
cd '/var/www/download/sacarlson/'; HOME='/var/www/download/'; export HOME; nohup /usr/bin/python -OO '/home/oldbox/torrentflux-b4rt_1.0-beta1/html/bin/clients/tornado/tftornado.py' 'False' '0' 'sacarlson' '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent' --responsefile '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent' --display_interval 1 --max_download_rate '0' --max_upload_rate '10' --max_uploads '4' --minport '49160' --maxport '49300' --rerequest_interval '1800' --super_seeder '0' --max_connections '40' 1>> '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.log' 2>> '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.log' &
[2007/09/26 - 13:42:23] tornado starting up :
[2007/09/26 - 13:42:23]  - torrentfile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent
[2007/09/26 - 13:42:23]  - userName : sacarlson
[2007/09/26 - 13:42:23]  - transferStatFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.stat
[2007/09/26 - 13:42:23]  - transferCommandFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.cmd
[2007/09/26 - 13:42:23]  - transferLogFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.log
[2007/09/26 - 13:42:23]  - transferPidFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.pid
[2007/09/26 - 13:42:23]  - autoDie : False
[2007/09/26 - 13:42:23]  - shareKill : 0
[2007/09/26 - 13:42:23]  - minport : 49160
[2007/09/26 - 13:42:23]  - maxport : 49300
[2007/09/26 - 13:42:23]  - max_upload_rate : 10
[2007/09/26 - 13:42:23]  - max_download_rate : 0
[2007/09/26 - 13:42:23]  - min_uploads : 4
[2007/09/26 - 13:42:23]  - max_uploads : 4
[2007/09/26 - 13:42:23]  - min_peers : 20
[2007/09/26 - 13:42:23]  - max_initiate : 40
[2007/09/26 - 13:42:23]  - max_connections : 40
[2007/09/26 - 13:42:23]  - super_seeder : 0
[2007/09/26 - 13:42:23]  - security : 1
[2007/09/26 - 13:42:23]  - auto_kick : 1
[2007/09/26 - 13:42:23]  - crypto_allowed : 0
[2007/09/26 - 13:42:23]  - crypto_only : 0
[2007/09/26 - 13:42:23]  - crypto_stealth : 0
[2007/09/26 - 13:42:23]  - priority : 
[2007/09/26 - 13:42:23]  - alloc_type : normal
[2007/09/26 - 13:42:23]  - alloc_rate : 2.0
[2007/09/26 - 13:42:23]  - buffer_reads : 1
[2007/09/26 - 13:42:23]  - write_buffer_size : 4
[2007/09/26 - 13:42:23]  - check_hashes : 1
[2007/09/26 - 13:42:23]  - max_files_open : 50
[2007/09/26 - 13:42:23]  - upnp_nat_access : 1
[2007/09/26 - 13:42:23] writing pid-file : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.pid (8539)
[2007/09/26 - 13:42:23] tornado up and running.
[2007/09/26 - 13:42:25] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:10:45] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:11:46] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:12:47] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:13:48] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:14:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:15:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:16:50] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:17:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:18:52] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:19:53] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:20:57] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:21:57] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:22:58] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:23:59] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:25:00] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:26:01] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:27:02] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:28:05] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:29:06] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:30:10] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:31:11] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:32:12] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:33:16] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:34:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:35:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:36:19] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:37:20] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:38:21] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:39:22] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:40:23] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:41:24] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:42:24] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:43:28] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:44:29] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:45:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:46:31] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:47:32] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:48:33] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:49:34] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:50:34] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:51:35] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:52:36] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:53:37] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:54:38] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:55:39] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:56:40] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:57:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:58:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:59:42] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:00:43] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:01:44] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:02:45] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:03:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:04:50] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:05:54] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:06:54] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:07:55] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:08:56] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:10:00] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:11:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:12:05] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:13:08] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:14:09] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:15:09] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:16:10] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:17:11] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:18:12] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:19:13] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:20:14] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:21:15] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:22:15] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:23:16] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:24:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:25:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:26:19] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:27:23] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:28:27] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:29:28] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:30:28] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:31:29] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:32:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:33:31] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:34:32] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:35:33] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:36:34] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:37:34] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:38:35] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:39:39] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:40:40] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:41:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:42:42] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:43:43] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:44:44] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:45:45] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:46:45] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:47:46] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:48:47] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:49:48] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:50:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:51:50] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:52:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:53:52] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:54:53] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:55:53] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:57:03] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:58:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 16:59:05] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:00:06] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:01:07] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:02:08] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:03:09] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:04:10] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:05:10] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:06:14] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:07:15] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:08:16] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:09:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:10:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:11:19] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:12:20] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:13:20] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:14:21] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:15:22] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:16:23] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:17:24] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:18:25] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:19:29] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:20:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:21:31] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:22:32] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:23:33] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:24:34] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:25:37] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:26:38] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:27:39] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:28:40] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:29:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:30:42] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:31:43] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:32:44] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:33:48] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:34:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:35:50] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:36:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:37:52] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:38:52] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:39:53] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:40:54] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:41:55] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:42:56] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:43:57] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:44:58] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:46:02] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:47:02] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:48:03] error: Problem connecting to tracker - (111, 'Connection refused')
